factory_name,allegation_count,latest_date,total_affected,all_issues,buyers,label_child_labour,label_forced_labour,label_discrimination,label_freedom_of_association,label_working_hours,label_compensation,label_osh,label_contracts,factory_lower,os_id,osh_name_matched,match_score
Hang Kei Myanmar,1,2024-08-27,1000.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Business-military collusion', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Etam Groupe (Buyer),Hunkemoller (Buyer)",0,1,1,1,1,1,1,0,hang kei myanmar,MM2020218M228KW,HANG KEI MYANMAR GARMENT FACTORY LIMITED,90.0
He MeT,4,2024-10-02,3050.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Business-military collusion', 'Unsafe working conditions', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Reported buyer),MO (part of Sonae Group) (Buyer),Sinsay (part of LPP S.A.) (Reported buyer),Sonae (Buyer),Takko (Reported buyer); MO (part of Sonae Group) (Buyer),Takko (Reported buyer)",1,1,1,0,1,1,1,1,he met,,,
Hen Bo,1,2023-06-06,600.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Inditex (Reported buyer),Zara (part of Inditex) (Reported buyer)",0,1,1,0,1,1,1,1,hen bo,,,
Heng Li Garment,1,2024-07-11,300.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']","House (part of LPP S.A) (Reported buyer),LPP Spółka Akcyjna (Reported buyer)",0,1,1,0,1,1,1,0,heng li garment,,,
Hengda (Myanmar) Apparel,2,2024-07-11,3000.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Inhumane work rates and mandatory overtime', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Hennes & Mauritz (H&M) (Buyer),Inditex (Reported buyer),Zara (part of Inditex) (Reported buyer); Hennes & Mauritz (H&M) (Buyer)",0,1,1,1,1,0,1,0,hengda (myanmar) apparel,MM2020084373A45,"HENGDA(MYANMAR) APPAREL CO., LTD.",95.0
Hengrun Garment,4,2024-04-13,2400.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Blue Wave (Buyer),House (part of LPP S.A) (Reported buyer),LPP Spółka Akcyjna (Reported buyer),Next (Buyer)",0,1,1,0,1,1,1,1,hengrun garment,MM2023064DEQ5NQ,HENGRUN GARMENT COMPANY LIMITED,90.0
Hesheng Myanmar Leather,4,2022-03-09,802.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Business-military collusion', 'Unsafe working conditions', 'Imprisonment arrests & detention']","Guess (Buyer),Moschino (Buyer)",0,0,1,0,1,1,1,0,hesheng myanmar leather,MM20230644Q8K01,Hesheng Myanmar Leather Company Limited,90.0
Hige Fashion Accessories (Myanmar),2,2024-02-06,450.0,"['Attacks on freedom of association', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions']",Hennes & Mauritz (H&M) (Buyer),0,0,0,1,1,1,1,1,hige fashion accessories (myanmar),MM2024022RQQTQX,Hige Fashion Accessories,95.0
Hong Miao Garment,5,2023-10-05,800.0,"['Attacks on freedom of association', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","FieldCore (Buyer),Paseos (Buyer); Paseos (Buyer),Shimamura (Reported buyer)",0,1,0,1,1,1,1,0,hong miao garment,,,
Hong Tex,1,2023-10-07,200.0,['Reduced wages and wage theft'],"Jichodo (Buyer),Mango (Buyer),New Look (Former buyer)",0,0,0,0,0,1,0,0,hong tex,MM2020057D1KAXJ,"Hong Tex Co., Ltd",90.0
Honor Apparel Garment,7,2023-08-25,4102.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Business-military collusion', 'Unfair dismissal', 'Unsafe working conditions', 'Imprisonment arrests & detention']","Bestseller (Reported buyer),C&A (Former buyer),HK Works London (Buyer),House (part of LPP S.A) (Buyer),KappAhl (Former buyer),Kiabi (Former buyer),LC Waikiki (Buyer),LPP Spółka Akcyjna (Buyer),Mavi (Reported buyer),ONLY (part of Bestseller) (Reported buyer),OVS SpA (Former buyer),Shimamura (Buyer),Sinsay (part of LPP S.A.) (Buyer); Bestseller (Reported buyer),C&A (Former buyer),HK Works London (Buyer),House (part of LPP S.A) (Buyer),KappAhl (Former buyer),Kiabi (Former buyer),LC Waikiki (Buyer),LPP Spółka Akcyjna (Buyer),ONLY (part of Bestseller) (Reported buyer),OVS SpA (Former buyer),Sinsay (part of LPP S.A.) (Buyer); Bestseller (Reported buyer),C&A (Former buyer),HK Works London (Buyer),House (part of LPP S.A) (Buyer),KappAhl (Former buyer),LC Waikiki (Buyer),LPP Spółka Akcyjna (Buyer),ONLY (part of Bestseller) (Reported buyer),OVS SpA (Former buyer),Sinsay (part of LPP S.A.) (Buyer)",0,0,1,1,1,1,1,1,honor apparel garment,,,
Hope One,1,2024-02-14,1000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,1,hope one,MM2025087639037,"Hope One Co., Ltd",90.0
Hosheng Myanmar Garment Factory,2,2023-07-07,8.0,"['Attacks on freedom of association', 'Imprisonment arrests & detention', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",Inditex (Former buyer),0,0,0,1,1,1,0,0,hosheng myanmar garment factory,,,
Huabo Times,7,2023-08-12,8036.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Business-military collusion', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse', 'Imprisonment arrests & detention']","Bestseller (Buyer),Inditex (Former buyer),ONLY (part of Bestseller) (Buyer),Primark (part of Associated British Foods) (Former buyer),Vero Moda (part of Bestseller) (Buyer),Zara (part of Inditex) (Former buyer); Bestseller (Buyer),Inditex (Buyer),ONLY (part of Bestseller) (Buyer),Primark (part of Associated British Foods) (Former buyer),Vero Moda (part of Bestseller) (Buyer),Zara (part of Inditex) (Buyer); Bestseller (Buyer),Inditex (Buyer),ONLY (part of Bestseller) (Buyer),Primark (part of Associated British Foods) (Former buyer),Vero Moda (part of Bestseller) (Buyer)",0,1,1,1,1,1,1,0,huabo times,MM2020148YQWHN2,Huabo Times Textile and Clothing,90.0
Huafu Garment,1,2024-06-24,1200.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Unsafe working conditions', 'Harassment intimidation and abuse']",SanMar (Buyer),1,1,1,1,1,1,1,1,huafu garment,,,
Huitai Manufacturing,1,2024-05-09,300.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer)",0,1,1,0,1,1,1,1,huitai manufacturing,,,
Huiyuan Garment,2,2024-03-15,1600.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Child labour', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Buyer),Sinsay (part of LPP S.A.) (Buyer)",1,1,1,0,1,1,1,0,huiyuan garment,MM202224911FG1H,HUIYUAN GARMENT COMPANY LIMITED,90.0
Hung Yang Leather,1,2022-04-03,0.0,['Inhumane work rates and mandatory overtime'],Guess (Buyer),0,0,0,0,1,0,0,0,hung yang leather,,,
Hunter Textile,1,2023-08-24,700.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unsafe working conditions', 'Harassment intimidation and abuse']","MANA (Buyer),OVS SpA (Buyer)",0,1,1,0,1,1,1,1,hunter textile,MM20232480T078R,hunter textile co. ltd.,90.0
J-Land Myanmar,3,2024-10-28,2600.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Guess (Buyer),Mango (Reported buyer)",1,1,1,1,1,1,1,1,j-land myanmar,MM2019083MB0CGC,J-Land Myanmar Company Limited,90.0
JOC Myanmar Garment,4,2024-07-11,2502.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of permanent contracts', 'Child labour', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Alpen Group (Buyer),Burtle (Buyer),Dunlop Sports (Buyer); Burtle (Buyer)",1,1,1,0,1,1,1,1,joc myanmar garment,MM2025088Y2B1ED,"JOC Myanmar Garment Co., Ltd",95.0
Jafon,1,2023-10-12,200.0,"['Denial of leave', 'Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",IPSY (Buyer),0,0,0,0,1,1,1,0,jafon,,,
Jessie Myanmar Apparel,2,2022-04-23,1000.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Child labour', 'Unfair dismissal', 'Harassment intimidation and abuse']",Next (Buyer),1,1,1,1,1,1,0,0,jessie myanmar apparel,MM2021252X2CPJV,Jessie Myanmar Apparel Manufacturing CoLtd,90.0
Jia Xin,3,2023-09-20,25.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Business-military collusion', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Fast Retailing (Reported buyer),GU (part of Fast Retailing) (Reported buyer),Inditex (Reported buyer),Stripe International (Buyer),Zara (part of Inditex) (Reported buyer)",0,1,1,0,1,1,1,0,jia xin,MM2023264WGNZ8N,JIA XIN (MYANMAR) GARMENT COMPANY LIMITED,90.0
Jiangsu Soho,3,2023-04-05,2090.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Business-military collusion', 'Unfair dismissal', 'Harassment intimidation and abuse']","ALDI South (Former buyer),Benetton Group (Former buyer),Bestseller (Reported buyer),Mango (Buyer),Next (Buyer)",0,1,1,0,1,1,0,0,jiangsu soho,MM2019083YY521N,Jiangsu Soho (Myanmar) Industry Co Ltd,90.0
Jiashihao (Myanmar),4,2024-03-10,4040.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Hennes & Mauritz (H&M) (Former buyer),Inditex (Former buyer),Lidl (Former buyer),Otto (Former buyer),Zara (part of Inditex) (Former buyer); Hennes & Mauritz (H&M) (Reported buyer),Inditex (Former buyer),Lidl (Former buyer),Otto (Former buyer),Zara (part of Inditex) (Former buyer)",0,1,1,0,1,1,1,0,jiashihao (myanmar),MM2025160HE3FSM,Jiashihao (Myanmar) Limited,90.0
Jin Sen,1,2023-04-09,100.0,"['Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",,0,0,0,0,1,1,0,0,jin sen,,,
Jinli Wool Factory,1,2023-05-30,270.0,"['Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions']",Hennes & Mauritz (H&M) (Buyer),0,0,0,0,1,0,1,1,jinli wool factory,,,
Jiu Sheng,1,2022-02-21,2000.0,['Reduced wages and wage theft'],Hennes & Mauritz (H&M) (Buyer),0,0,0,0,0,1,0,0,jiu sheng,MM2020084D065MP,"Jiu Sheng (Myanmar) Knitted Wear Co., Ltd",90.0
Jun Sheng,2,2023-07-19,800.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unsafe working conditions', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Former buyer),Mohito (part of LPP S.A.) (Former buyer)",0,1,1,0,1,1,1,1,jun sheng,MM2025087F67FZW,"Jun Sheng Garment Co., Ltd",90.0
K-Won & MICC,1,2021-08-15,5000.0,['Unsafe working conditions'],Hennes & Mauritz (H&M) (Buyer),0,0,0,0,0,0,1,0,k-won & micc,MM2020084C7XJJY,K-Won & MICC Company Limited,90.0
KBL Garment,4,2024-10-19,2700.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Business-military collusion', 'Unsafe working conditions', 'Harassment intimidation and abuse']",David's Bridal (Buyer),0,1,1,1,1,1,1,0,kbl garment,,,
Kaixi Myanmar Fashion,3,2024-01-16,11000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Inditex (Reported buyer),Primark (part of Associated British Foods) (Former buyer),Zara (part of Inditex) (Reported buyer); Inditex (Reported buyer),Primark (part of Associated British Foods) (Former buyer)",0,1,1,0,1,1,1,0,kaixi myanmar fashion,MM2020148RY90HV,Kaixi Myanmar,90.0
Kamcaine Garment,2,2023-11-14,1300.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Inditex (Buyer),Lidl (Buyer),Zara (part of Inditex) (Buyer)",0,1,1,1,1,1,1,1,kamcaine garment,,,
Karisma Apparel (Myanmar),1,2023-11-17,1300.0,"['Denial of leave', 'Unsafe working conditions', 'Reduced wages and wage theft']",Lidl (Buyer),0,0,0,0,1,1,1,0,karisma apparel (myanmar),MM2019107MJ7QM6,Karisma Apparel (Myanmar) Company Limited,90.0
Kfine International Garment (Myanmar),5,2023-11-08,6004.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Business-military collusion', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Bestseller (Buyer),Inditex (Reported buyer),LPP Spółka Akcyjna (Buyer),ONLY (part of Bestseller) (Buyer),Reserved (part of LPP Spółka Akcyjna) (Buyer),Zara (part of Inditex) (Reported buyer); Bestseller (Buyer),LPP Spółka Akcyjna (Buyer); Bestseller (Buyer),LPP Spółka Akcyjna (Buyer),Reserved (part of LPP Spółka Akcyjna) (Buyer)",1,1,1,0,1,1,1,1,kfine international garment (myanmar),MM2021299RGF5T9,Kfine International Garment (Myanmar) Company Limited,95.0
Kingsrich (Myanmar) Fashion,8,2024-10-10,5305.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Business-military collusion', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse', 'Imprisonment arrests & detention']","Hennes & Mauritz (H&M) (Buyer),Marks & Spencer (Former buyer); Hennes & Mauritz (H&M) (Buyer),Marks & Spencer (Buyer)",0,1,1,0,1,1,1,1,kingsrich (myanmar) fashion,MM20240221ZE3KA,"Kingsrich (Myanmar) Fashion Co., Ltd.",95.0
Kittenish Knitting Co.,2,2023-08-19,1100.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Inditex (Reported buyer),Lidl (Buyer),Zara (part of Inditex) (Reported buyer); Inditex (Reported buyer),Zara (part of Inditex) (Reported buyer)",0,1,1,0,1,1,1,1,kittenish knitting co.,MM2019083Z1NPGC,Kittenish Knitting Co Ltd (No 2),95.0
Kseng garment factory,4,2024-07-18,3900.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Surveillance', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Clique (part of New Wave Group) (Buyer),Cutter & Buck (part of New Wave Group) (Buyer),Matalan (Former buyer),New Wave Group (Buyer),New Yorker (Buyer),Orsay (Buyer),Springfield (part of Tendam) (Buyer),Tendam (Former buyer); Clique (part of New Wave Group) (Buyer),Matalan (Buyer),New Wave Group (Buyer),New Yorker (Buyer),Orsay (Buyer),Springfield (part of Tendam) (Buyer),Tendam (Buyer); Clique (part of New Wave Group) (Buyer),Matalan (Buyer),New Wave Group (Buyer),New Yorker (Buyer),Orsay (Buyer),Springfield (part of Tendam) (Buyer); Matalan (Buyer),New Wave Group (Buyer),New Yorker (Buyer),Orsay (Buyer),Springfield (part of Tendam) (Buyer),Tendam (Buyer)",0,1,1,1,1,1,1,0,kseng garment factory,,,
LZS Apparel,1,2024-09-08,800.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,0,lzs apparel,,,
Lat War Garment,4,2024-04-25,4000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Auchan (Reported buyer),Kapalua (Buyer),LC Waikiki (Former buyer),Mavi (Reported buyer),Regatta (Reported buyer),Tom Tailor (Former buyer)",0,1,1,0,1,1,1,1,lat war garment,MM2024022KM44ZM,LAT WAR GARMENT,100.0
Li Da Garment,3,2024-05-23,529.0,"['Unsafe working conditions', 'Denial of leave', 'Inhumane work rates and mandatory overtime']",,0,0,0,0,1,0,1,0,li da garment,,,
Lian Cheng (Myanmar),2,2023-09-13,700.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Business-military collusion', 'Unfair dismissal']","Inditex (Former buyer),Zara (part of Inditex) (Former buyer)",0,0,1,0,1,1,0,1,lian cheng (myanmar),,,
Lian Fa (Myanmar),1,2024-09-12,300.0,"['Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",,0,0,0,0,1,1,1,0,lian fa (myanmar),,,
Likes ViewTex Garment,6,2022-09-04,1130.0,"['Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of permanent contracts', 'Business-military collusion', 'Unfair dismissal', 'Harassment intimidation and abuse']",,0,1,0,0,1,1,0,1,likes viewtex garment,,,
Lita Myanmar,4,2024-10-18,2700.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Surveillance', 'Business-military collusion', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Burtle (Buyer),Converse (part of Nike) (Reported buyer),Karsee (Buyer),Nike (Reported buyer),Toyo (Buyer),United Arrows (Buyer); Burtle (Buyer),Converse (part of Nike) (Reported buyer),Nike (Reported buyer),Toyo (Buyer)",1,1,1,1,1,1,1,1,lita myanmar,MM2025087JXERBJ,Lita Myanmar Company Limited,90.0
Lon John International,2,2024-05-01,1200.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,0,lon john international,,,
Maiyibei (Yangon) Garment Manufacturing,4,2024-10-31,2209.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Alcott (Buyer),Hang Ten (Buyer),LPP Spółka Akcyjna (Buyer),Original Marines (Buyer),Sinsay (part of LPP S.A.) (Buyer); Hang Ten (Buyer),LPP Spółka Akcyjna (Buyer),Sinsay (part of LPP S.A.) (Buyer)",1,1,1,0,1,1,1,1,maiyibei (yangon) garment manufacturing,MM20211059PK685,"MAIYIBEI (YANGON) GARMENT MANUFACTURING CO.,LTD",95.0
Mayfair (Myanmar) Industry,1,2024-06-07,1500.0,"['Denial of leave', 'Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",DeFacto (Buyer),0,0,0,0,1,1,1,0,mayfair (myanmar) industry,MM2022007NKMZZ1,"MAYFAIR (MYANMAR) INDUSTRY CO., LTD",95.0
Mei Jie,1,2023-03-27,4000.0,"['Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']","Hennes & Mauritz (H&M) (Buyer),Inditex (Reported buyer),Zara (part of Inditex) (Reported buyer)",0,0,0,0,1,1,1,0,mei jie,,,
Mengyue Garment,3,2024-10-12,301.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Child labour', 'Unsafe working conditions', 'Harassment intimidation and abuse']",Paltex (Buyer),1,1,1,0,1,1,1,0,mengyue garment,,,
Mingalar Sumbiri Garment,1,2021-12-03,86.0,"['Unfair dismissal', 'Reduced wages and wage theft']","C&A (Buyer),Hennes & Mauritz (H&M) (Buyer)",0,0,0,0,0,1,0,0,mingalar sumbiri garment,MM2019107Q5TS41,MINGALAR SUMBIRI GARMENT CO. LTD.,95.0
Mirae (New Way Garment),3,2024-01-11,702.0,"['Attacks on freedom of association', 'Reduced wages and wage theft', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions']",Ziben (Buyer),0,0,0,1,1,1,1,1,mirae (new way garment),,,
Mountain Top,1,2023-03-14,0.0,"['Unfair dismissal', 'Gender-based violence and harassment', 'Reduced wages and wage theft']","Caprice (Buyer),Tamaris (Buyer),Wortmann Schuh-Holding (Buyer)",0,0,1,0,0,1,0,0,mountain top,MM2022083TGT6H6,MOUNTAIN TOP GLOBAL LIMITED,90.0
Mountain Tree,1,2024-03-03,300.0,"['Unsafe working conditions', 'Harassment intimidation and abuse', 'Gender-based violence and harassment', 'Inhumane work rates and mandatory overtime']",,0,1,1,0,1,0,1,0,mountain tree,,,
Myam Bag,1,2024-02-12,1000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,0,myam bag,,,
Myan Mode,4,2022-02-28,351.0,"['Attacks on freedom of association', 'Business-military collusion', 'Reduced wages and wage theft', 'Imprisonment arrests & detention']","Inditex (Former buyer),Mango (Former buyer)",0,0,0,1,0,1,0,0,myan mode,,,
Myanka Garment,1,2024-04-13,1500.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Springfield (part of Tendam) (Buyer),Tendam (Buyer)",0,1,1,0,1,1,1,0,myanka garment,MM2020230K97ZRX,Myanka Garment Limited,90.0
Myanmar All Rich Garment,1,2022-12-14,1000.0,['Reduced wages and wage theft'],"Bestseller (Reported buyer),Inditex (Reported buyer),ONLY (part of Bestseller) (Reported buyer),Vero Moda (part of Bestseller) (Reported buyer),Zara (part of Inditex) (Reported buyer)",0,0,0,0,0,1,0,0,myanmar all rich garment,MM20250870N5T06,"Myanmar All Rich Garment Co., Ltd",95.0
Myanmar Bag,1,2024-09-15,1000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,0,myanmar bag,MM2022280YXSB5E,myanmar bago nt mode garment co. ltd.,90.0
Myanmar Bago Ntmode Garments,1,2023-12-17,600.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,1,1,1,1,1,1,1,1,myanmar bago ntmode garments,,,
Myanmar Best Fortune Garment,2,2023-10-14,1052.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Clique (part of New Wave Group) (Former buyer),Craft (part of New Wave Group) (Former buyer),LC Waikiki (Reported buyer),New Wave Group (Former buyer),New Yorker (Buyer),Springfield (part of Tendam) (Reported buyer),Tendam (Reported buyer)",0,1,1,0,1,1,1,0,myanmar best fortune garment,,,
Myanmar Bestex Garment,4,2024-01-13,2900.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Child labour', 'Business-military collusion', 'Unfair dismissal', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Buyer),Mohito (part of LPP S.A.) (Buyer),OVS SpA (Former buyer),Sinsay (part of LPP S.A.) (Buyer); LPP Spółka Akcyjna (Buyer),Mohito (part of LPP S.A.) (Buyer),OVS SpA (Former buyer),RBX Active (Buyer),Sinsay (part of LPP S.A.) (Buyer); LPP Spółka Akcyjna (Buyer),Mohito (part of LPP S.A.) (Buyer),OVS SpA (Former buyer),RBX Active (Former buyer)",1,1,1,0,1,1,0,0,myanmar bestex garment,MM20210260CJRKG,MYANMAR BESTEX GARMENT CO. LTD,95.0
Myanmar Chaofa,1,2024-08-03,200.0,"['Unsafe working conditions', 'Harassment intimidation and abuse', 'Child labour', 'Reduced wages and wage theft']",,1,1,0,0,0,1,1,0,myanmar chaofa,,,
Myanmar Cincerece,1,2023-02-11,850.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Inhumane work rates and mandatory overtime', 'Unsafe working conditions', 'Harassment intimidation and abuse']","American Holic (Buyer),Stripe International (Buyer)",0,1,1,1,1,0,1,0,myanmar cincerece,,,
Myanmar City Garment Factory,1,2022-10-23,850.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']","American Holic (Buyer),Stripe International (Buyer)",0,0,1,0,1,1,0,0,myanmar city garment factory,,,
